               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11767,            0.082388,             0.04074,           0.0054943,             0.39915,           0.0041405,          0.00089071,             0.11386,             0.08692,            0.035576,              0.0928,              0.0008,              0.0008
                   1,              0.1061,            0.090436,            0.033399,             0.73645,             0.10536,            0.061987,            0.013169,            0.097211,             0.10168,             0.02416,            0.084683,           0.0016832,           0.0016832
                   2,            0.095505,            0.098516,            0.025379,             0.75135,             0.14636,            0.076475,            0.018529,            0.087928,             0.11447,            0.015331,            0.076549,           0.0025485,           0.0025485
                   3,            0.086733,             0.08528,            0.018029,             0.73078,             0.15747,            0.072528,            0.018542,            0.088414,             0.12441,            0.011716,            0.068396,            0.003396,            0.003396
                   4,            0.084562,            0.080294,            0.015592,             0.80497,             0.19732,             0.30179,            0.089366,            0.075436,             0.11196,            0.010483,            0.060226,           0.0042258,           0.0042258
                   5,            0.078774,            0.075471,            0.013294,             0.21108,             0.60006,             0.38257,             0.12925,            0.073785,             0.10162,            0.010127,            0.052038,           0.0050376,           0.0050376
                   6,            0.077719,            0.068488,            0.013717,             0.35061,             0.59624,             0.43488,             0.15202,            0.073631,            0.083713,            0.010119,            0.043832,           0.0058317,           0.0058317
                   7,            0.077825,            0.066638,            0.013192,             0.19257,             0.58123,             0.46246,             0.14282,            0.073498,            0.078412,           0.0096581,            0.035608,            0.006608,            0.006608
                   8,            0.079199,            0.062581,            0.013679,             0.36128,             0.83402,              0.5484,             0.15722,            0.074204,            0.073312,           0.0092655,            0.027366,           0.0073664,           0.0073664
                   9,            0.076357,            0.064096,            0.012846,             0.29412,             0.67371,             0.49156,             0.20093,            0.077642,            0.076761,           0.0089198,            0.019107,            0.008107,            0.008107
                  10,            0.076456,            0.062517,             0.01307,             0.27579,             0.70697,             0.39779,             0.11943,            0.083105,            0.072005,           0.0085195,             0.01083,           0.0088298,           0.0088298
                  11,            0.078644,            0.058426,            0.012009,             0.46581,             0.80141,             0.59941,             0.23059,            0.075032,            0.067551,           0.0086905,            0.008911,            0.008911,            0.008911
                  12,            0.077409,            0.061157,            0.012599,             0.45559,             0.89761,             0.70958,             0.28568,             0.06551,            0.065929,            0.008524,            0.008911,            0.008911,            0.008911
                  13,            0.071186,            0.061924,            0.011971,             0.39418,             0.82028,             0.59122,             0.21325,            0.067056,            0.067874,             0.00821,            0.008812,            0.008812,            0.008812
                  14,            0.071208,            0.057673,            0.011793,             0.39151,             0.86858,             0.70422,             0.28173,            0.061487,            0.064856,           0.0077918,            0.008713,            0.008713,            0.008713
                  15,            0.067849,             0.06441,            0.011194,             0.44075,             0.75962,             0.70953,              0.2668,            0.056645,            0.064264,           0.0072179,            0.008614,            0.008614,            0.008614
                  16,            0.063029,            0.060029,            0.010339,             0.78295,             0.76436,              0.8483,             0.41677,            0.049737,            0.063165,           0.0068471,            0.008515,            0.008515,            0.008515
